103664200 姚晨高圆圆王珞丹太闹腾 0
131468400 明道活动现场被追债 -1
233608807 愛奇藝早班機：關曉彤鹿晗曬愛  1
250633500 邓超模仿杨幂唱歌  0
333372200 “跑男”拍电影 0
379836700 奇葩说2  0
381855000 少女时代《Party》现场版150719  0
410482800 “小龙女”嫁了！陈晓求婚陈妍希 1
423495200 吴秀波靳东合影引热议  0
480205100 撒贝宁婚礼现场曝光 0
540095700 导演车径行因乔任梁去世遭骂 -1
548968500 《胭脂》赵丽颖扮性感小护士 0
575655700 《灵魂摆渡3》最痛不过分离 0
581134400 乔任梁遗作即将播出 0
587927600 《北上广》萧然到公司暗访  0
592116400 《三生》主创《王牌》贺岁  0
595310200 2017湖南卫视跨年演唱会 0
611727000 YHBOYS被指抄袭TF  -1
613692000 不跟风！翟天临：演员要睁大眼睛看社会！ 1
614325800 “用力过猛”之赵丽颖：感情事一拖再拖  0
615881800 2017北京元宵  0
620287700 唐国强 0
621546100 林妙可北电落榜遭群嘲—早班机  -1
622566000 关之琳后悔做小三  -1
622838900 郭晓东新造型  0
626912100 梁朝伟抱怨与“妖怪”合作很痛苦 0
626919800 黄磊：最好的教育是陪伴和尊重  1
630196200 张韶涵复出大银幕  1
630364900 此次不沉默！张柏芝大反击  0
631082100 郑爽称粉团已满不拓展：不能给我丢人—早班机 1
631170600 巩汉林：抄袭和仿造让电影难出国门  0
631729600 独家跟拍马可：年轻人的片场像“考场”  0
634906100 汪小菲痛心俏江南乱象  0
637173400 孩子生完啦？陈冠希晒近照疑回应：废话我不说 0
640454600 苏醒发长文否认曝何洁离婚：不喜欢哗众取宠  0
641418200 董力T台首秀“险出意外”直言太紧张 -1
641910000 张译凭真才实学实力圈粉 1
642538300 具惠善出院休养复出期未定  0
643167900 柳岩幽默回应网友吐槽  1
646707600 邓紫棋学骑单车尖叫不断 1
647093200 涉嫌恐吓女儿  0
648160600 林家栋首次提名便获奖  1
648234100 池昌旭现身仁川机场 -1
650602600 孙俪发声否认怀第三胎：保持体型的我很受伤  0
652627600 朴有天奉子成婚？未婚妻被曝变胖六公斤疑怀孕 -1
652911400 《奔跑吧》邓超热巴黄宗泽实力尬舞  -1
658373200 林心如产后身材迅速恢复 1
659213200 戏份越多包袱越重  0
660649400 《奔跑吧》邓超尴尬脚抽筋  -1
661591000 王德顺自曝不会再走T台秀  -1
662467800 带上助理吃到深夜  0
662808400 李小璐逛街遭偷拍裙底  -1
664295400 杨幂大片尽显高级优雅范儿  1
665206400 霸凌还是误会？张译曾经很幼稚！ -1
665314400 黄磊公司被曝剽窃创意  -1
672630200 不止是暴力！姜武：反派角色更复杂！ 0
672923700 郭富城哽咽忆哥哥去世：前一天还说要交换衣服 -1
673952900 周杰伦新加坡巡演竟遭歌迷抵制  -1
674119600 孙红雷遭娇妻禁止上床  -1
674170200 安以轩6月5日夏威夷办婚礼 1
675014100 宣萱不介意跟陈松伶比较 0
675885700 贝克汉姆尽现英伦范 0
679753500 吴镇宇演绎高智商反派  0
681130200 王宝强马蓉疑离婚  -1
689008700 “笑场专业户”杜天皓：我还没长大！ 0
693756800 张子萱低调带女儿出行  0
696011100 《奔跑吧》热巴紧张脸色惨白 -1
703162900 NCT 0
703650100 白百何那五年，不得不说她的爱情片很虐！ 0
713018700 爱奇艺尖叫之夜演唱会  0
714444000 杨幂向工作人员撒娇 1
717010700 “梅氏冷幽默” 0
718934700 吴磊“强迫症”大爆发搭档张艺谋很紧张  0
719157500 《新歌声2》那英翻盘“反怼”男导师 1
721399000 炎亚纶怒轰“开玩笑要有限度”  -1
721858900 《我的前半生》曝预告  0
721940800 王思聪百万寻狗登热搜，碾压宋慧乔宋仲基婚讯 0
722895900 刘英俊上线！刘诗诗梳油头穿西装攻气十足 1
727575300 《我们的少年时代》花絮 0
728606000 有颜任性不好好穿鞋 0
729637700 改走搞笑路线？金在中穿睡衣与UIE跳《PPAP》  0
735845100 爱奇艺尖叫之夜演唱会  0
737659000 吴慷仁自曝七夕简单过  0
740896800 《新歌声2》预告  0
742847200 郑恺和女友游环球影城  0
743142900 《轩辕剑之汉之云》曝MV  0
745586800 陈道明等公交车被老奶奶认出，被“批”太瘦了 0
745957300 邹市明憾败现场洒泪 -1
746391600 TURBO的女团COVER 0
746844600 周杰伦直呼奶爸不易当  0
747931900 《中国新歌声2》纯享  0
748878800 黄晓明录节目变"英文担当" 1
751105500 谢楠爆吴京追她时糗事，吴京初见谢楠就问 -1
751616800 舒淇：过敏很痛苦  0
752167200 穷玩车富玩表，壕到没边的潘玮柏1300万扛手上 0
753604800 陈意涵谈“初老”  0
753712700 周冬雨窦靖童解锁“金九”双封—早班机  1
754806200 迪丽热巴刘昊然登杂志创刊号封面—早班机 1
758374700 王自健：喜欢演戏多过主持  0
760598800 黄子韬被告上法庭  -1
760602600 网曝白百何出席活动 0
